repo_id,onnx_file,repo_mb,downloaded_mb,n_syntactic,n_admitted,epsilon,verdict,verify_sec,status
sentence-transformers/all-MiniLM-L6-v2,onnx/model.onnx,931.7,931.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,114.7,ok
cross-encoder/ms-marco-MiniLM-L6-v2,onnx/model.onnx,848.9,848.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,96.7,ok
BAAI/bge-small-en-v1.5,onnx/model.onnx,382.5,382.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,52.4,ok
colbert-ir/colbertv2.0,model.onnx,1252.8,1252.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,126.4,ok
BAAI/bge-base-en-v1.5,onnx/model.onnx,1252.0,1252.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,129.4,ok
nomic-ai/nomic-embed-text-v1,onnx/model.onnx,1698.3,1698.3,12,12,0.0,add-DGP-CLASS-NEGATIVE,179.8,ok
sentence-transformers/paraphrase-MiniLM-L6-v2,onnx/model.onnx,845.0,845.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,100.8,ok
distilbert/distilbert-base-uncased-finetuned-sst-2-english,onnx/model.onnx,1278.6,1278.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,134.1,ok
sentence-transformers/all-MiniLM-L12-v2,onnx/model.onnx,1243.8,1243.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,140.9,ok
patrickjohncyh/fashion-clip,onnx/model.onnx,1739.0,1739.0,24,24,0.0,add-DGP-CLASS-NEGATIVE,192.6,ok
Xenova/all-MiniLM-L6-v2,onnx/model.onnx,328.0,328.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,43.8,ok
cross-encoder/ms-marco-MiniLM-L4-v2,onnx/model.onnx,716.0,716.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,87.2,ok
answerdotai/answerai-colbert-small-v1,model.onnx,853.4,853.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,96.1,ok
Xenova/bge-base-en-v1.5,onnx/model.onnx,1309.7,1309.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,136.0,ok
cross-encoder/ms-marco-MiniLM-L12-v2,onnx/model.onnx,1247.8,1247.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,130.8,ok
minishlab/potion-base-8M,onnx/model.onnx,58.5,58.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,18.6,ok
AdamCodd/vit-base-nsfw-detector,onnx/model.onnx,1228.1,1228.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,126.4,ok
intfloat/e5-small-v2,model.onnx,766.0,766.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,90.3,ok
HuggingFaceTB/SmolLM2-135M-Instruct,onnx/model.onnx,1878.6,1878.6,30,30,0.0,add-DGP-CLASS-NEGATIVE,202.4,ok
cross-encoder/ms-marco-MiniLM-L2-v2,onnx/model.onnx,583.0,583.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,73.1,ok
sentence-transformers/paraphrase-MiniLM-L3-v2,onnx/model.onnx,645.5,645.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,84.9,ok
sentence-transformers/paraphrase-MiniLM-L12-v2,onnx/model.onnx,1244.0,1244.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,137.4,ok
sentence-transformers/msmarco-MiniLM-L12-cos-v5,onnx/model.onnx,1371.2,1371.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,154.4,ok
jinaai/jina-embeddings-v2-small-en,model.onnx,498.8,498.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,68.3,ok
mixedbread-ai/mxbai-rerank-xsmall-v1,onnx/model.onnx,500.0,500.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,61.6,ok
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,onnx/model.onnx,845.0,845.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,105.6,ok
briaai/RMBG-1.4,onnx/model.onnx,803.2,803.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,99.4,ok
Qdrant/all-MiniLM-L6-v2-onnx,model.onnx,87.1,87.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,20.8,ok
thenlper/gte-small,onnx/model.onnx,765.7,765.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,95.6,ok
mixedbread-ai/mxbai-rerank-base-v1,onnx/model.onnx,1299.8,1299.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,133.2,ok
lxyuan/distilbert-base-multilingual-cased-sentiments-student,onnx/model.onnx,1552.6,1552.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,156.7,ok
jinaai/jina-embeddings-v2-base-de,onnx/model.onnx,1689.5,1689.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,195.6,ok
breezedeus/pix2text-mfr,decoder_model.onnx,112.2,112.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,41.3,ok
shibing624/text2vec-base-chinese,onnx/model.onnx,1849.4,1849.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,214.0,ok
minishlab/potion-base-4M,onnx/model.onnx,29.7,29.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,29.8,ok
Xenova/segformer-b0-finetuned-ade-512-512,onnx/model.onnx,26.4,26.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,13.1,ok
Snowflake/snowflake-arctic-embed-m,onnx/model.onnx,1634.4,1634.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,168.8,ok
microsoft/layoutlmv3-base,model.onnx,1914.3,1914.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,182.9,ok
sentence-transformers/paraphrase-albert-small-v2,onnx/model.onnx,661.2,661.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,86.1,ok
protectai/deberta-v3-base-prompt-injection-v2,onnx/model.onnx,1429.1,1429.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,155.3,ok
livekit/turn-detector,model_quantized.onnx,675.1,675.1,,,,,82.9,"fail: ValueError: cannot reshape array of size 7078176 into shape (49154,576)"
Qdrant/bge-small-en-v1.5-onnx-Q,model_optimized.onnx,64.3,64.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,19.0,ok
TaylorAI/bge-micro-v2,onnx/model.onnx,149.8,149.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,35.1,ok
cross-encoder/ms-marco-TinyBERT-L2-v2,onnx/model.onnx,165.1,165.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,37.9,ok
sentence-transformers/msmarco-MiniLM-L6-v3,onnx/model.onnx,931.6,931.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,110.4,ok
Xenova/multilingual-e5-small,onnx/model.onnx,1986.4,1986.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,195.0,ok
redis/langcache-embed-v1,onnx/model.onnx,1709.9,1709.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,175.7,ok
dslim/distilbert-NER,onnx/model.onnx,499.3,499.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,68.0,ok
Qdrant/all_miniLM_L6_v2_with_attentions,model.onnx,87.7,87.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,20.7,ok
Xenova/bge-small-en-v1.5,onnx/model.onnx,438.8,438.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,55.1,ok
segment-any-text/sat-3l-sm,model.onnx,1649.0,1649.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,153.3,ok
distilbert/distilbert-base-cased,model.onnx,1089.2,1089.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,130.6,ok
thenlper/gte-base,onnx/model.onnx,1669.2,1669.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,212.0,ok
Snowflake/snowflake-arctic-embed-xs,onnx/model.onnx,385.6,385.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,94.8,ok
SmilingWolf/wd-swinv2-tagger-v3,model.onnx,1214.7,1214.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,134.8,ok
akdeniz27/bert-base-turkish-cased-ner,model.onnx,1260.3,1260.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,137.3,ok
minishlab/potion-retrieval-32M,onnx/model.onnx,248.4,248.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,54.6,ok
jinaai/jina-embeddings-v2-base-code,onnx/model.onnx,1690.7,1690.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,175.7,ok
TahaDouaji/detr-doc-table-detection,onnx/model.onnx,476.7,476.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,56.0,ok
jonathandinu/face-parsing,onnx/model.onnx,1056.5,1056.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,106.3,ok
dangvantuan/vietnamese-embedding,onnx/model.onnx,1031.9,1031.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,123.2,ok
nomic-ai/nomic-embed-vision-v1.5,onnx/model.onnx,1279.9,1279.9,13,13,2.958393193334161e+304,UNCERTIFIED,130.7,ok
Maykeye/TinyLLama-v0,model.onnx,46.8,46.8,8,8,1.165643121406511e+307,UNCERTIFIED,26.1,ok
Jean-Baptiste/camembert-ner-with-dates,model.onnx,1260.4,1260.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,127.3,ok
optimum-intel-internal-testing/tiny-random-bert,onnx/model.onnx,26.9,26.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,16.9,ok
HuggingFaceTB/SmolLM-135M,onnx/model.onnx,2014.9,2014.9,30,30,0.0,add-DGP-CLASS-NEGATIVE,213.8,ok
Xenova/bert-base-NER,onnx/model.onnx,1288.6,1288.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,131.6,ok
onecxi/open-vakgyata,onnx/model_quantized.onnx,448.3,448.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,48.3,ok
PramaLLC/BEN2,BEN2_Base.onnx,1676.5,1676.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,167.1,ok
shibing624/text2vec-base-multilingual,onnx/model.onnx,1407.1,1407.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,151.2,ok
mattmdjaga/segformer_b2_clothes,onnx/model.onnx,523.1,523.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,66.2,ok
Qdrant/paraphrase-multilingual-MiniLM-L12-v2-onnx-Q,model_optimized.onnx,254.5,254.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,32.6,ok
NX-AI/TiRex,tirex.onnx,270.4,270.4,12,12,2.157016213328206e+305,UNCERTIFIED,30.5,ok
intfloat/e5-small,model.onnx,382.3,382.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,51.2,ok
Xenova/finbert,onnx/model.onnx,1320.6,1320.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,135.4,ok
avsolatorio/GIST-small-Embedding-v0,onnx/model.onnx,415.0,415.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,60.0,ok
Xenova/paraphrase-multilingual-MiniLM-L12-v2,onnx/model.onnx,1995.7,,,,,,227.0,"fail: SSLError: (MaxRetryError(""SOCKSHTTPSConnectionPool(host='hf-mirror.com', port=443): Max retries exceeded with url: /Xenova/paraphrase-multilingual-MiniLM-L12-v2/resolve/main/onnx/model_q4f16.onnx (Caused by SSL"
